customerID,SeniorCitizen,MonthlyCharges,TotalCharges,Churn,PhoneService_No,PhoneService_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,MultipleLines_No_Phone_Service,MultipleLines_No,MultipleLines_Yes,OnlineSecurity_No_Internet_Service,OnlineSecurity_No,OnlineSecurity_Yes,OnlineBackup_No_Internet_Service,OnlineBackup_No,OnlineBackup_Yes,DeviceProtection_No_Internet_Service,DeviceProtection_No,DeviceProtection_Yes,TechSupport_No_Internet_Service,TechSupport_No,TechSupport_Yes,StreamingTV_No_Internet_Service,StreamingTV_No,StreamingTV_Yes,StreamingMovies_No_Internet_Service,StreamingMovies_No,StreamingMovies_Yes,gender_encoded,Partner_encoded,Dependents_encoded,Contract_encoded,PaperlessBilling_encoded,PaymentMethod_encoded,tenure_encoded
7590-VHVEG,0,29.85,29.85,0,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,0,1,0,0,1,2,0.6199021207177814
5575-GNVDE,0,56.95,1889.5,0,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,1,0,0,1,0,3,0.18461538461538463
3668-QPYBK,0,53.85,108.15,1,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,1,0,0,0,1,3,0.5168067226890757
7795-CFOCW,0,42.3,1840.75,0,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,1,0,0,1,0,0,0.09836065573770492
9237-HQITU,0,70.7,151.65,1,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,0,0,0,0,1,2,0.5168067226890757
9305-CDSKC,0,99.65,820.5,1,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,0,0,0,0,1,2,0.34146341463414637
1452-KIOVK,0,89.1,1949.4,0,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,1,0,1,0,1,1,0.3
6713-OKOMC,0,29.75,301.9,0,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,0,0,0,0,0,3,0.3879310344827586
7892-POOKP,0,104.8,3046.05,1,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,0,1,0,0,1,2,0.21052631578947367
6388-TABGU,0,56.15,3487.95,0,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,1,0,1,1,0,0,0.07142857142857142
